tweet_id,tweet,sentiment,created_at,hashtags,username,location,retweet_count,org_tweet,org_lang,favorite_count,latitude,longitude,cleaned_tweet,currenttime,positive_prob,negative_prob,neutral_prob,place,date,time,date_time,current_date_time,temp_c,wind_kph,wind_degree,wind_dir,pressure_in,precip_mm,humidity,cloud,feelslike_c,vis_km,uv,gust_kph,conditions
1642295451402801154,"@rahul_1700 @BhavikaKapoor5 No pappuji, no insult is bigger than being Dynasty gulams",negative,"2023-04-01 22:38:42",,Harsha,"Mysore, India",0,"@rahul_1700 @BhavikaKapoor5 No pappuji, no insult is bigger than being Dynasty gulams",en,0,12.3051828,76.6553609,"rahul 1700 bhavikakapoor5 pappuji insult bigger dynasty gulams","2023-04-02 04:23:56",0.01619674,0.6002832,0.38352004,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295458063351808,"@tedkimo Hang on champ, everything will be alright soon 🤛👍",positive,"2023-04-01 22:38:44",,Mursaleen.ETH,"Bengaluru, India",0,"@tedkimo Hang on champ, everything will be alright soon 🤛👍",en,0,12.9767936,77.590082,"tedkimo hang champ everything will alright soon","2023-04-02 04:23:56",0.74401706,0.00871629,0.24726667,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295467341144064,"Just now found out my wife is cheating on me. 🤷🏾‍♂️",negative,"2023-04-01 22:38:46",,Mohan,"Mysore, India",0,"Just now found out my wife is cheating on me. 🤷🏾‍♂️",en,0,12.3051828,76.6553609,"just now found wife cheating","2023-04-02 04:23:56",0.003323392,0.9133644,0.08331222,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295473754210304,"@SheetalPronamo Yeah such shitful religion ohh sry peaceful, I mean after all it's written in the Fk book mm hmm sry again I mean holy book to kill the kafirs so it's not their fault. So much peace. If mamta begum stays for another 10 yrs WB will be history as it will be renamed as katubengal",negative,"2023-04-01 22:38:47",,"Bond bond","Bengaluru, India",0,"@SheetalPronamo Yeah such shitful religion ohh sry peaceful, I mean after all it's written in the Fk book mm hmm sry again I mean holy book to kill the kafirs so it's not their fault. So much peace. If mamta begum stays for another 10 yrs WB will be history as it will be renamed as katubengal",en,0,12.9767936,77.590082,"sheetalpronamo yeah shitful religion ohh sry peaceful mean s written fk book mm hmm sry mean holy book kill kafirs s fault much peace mamta begum stays another 10 yrs wb will history will renamed katubengal","2023-04-02 04:23:56",0.023505362,0.71766895,0.2588257,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295501201768450,"@dhina17l Yupp it works like 🔥 got to know about it via @thecybermentor 's💙 course",positive,"2023-04-01 22:38:54",,"🧀Md Moinuddin","Bengaluru, India",0,"@dhina17l Yupp it works like 🔥 got to know about it via @thecybermentor 's💙 course",en,0,12.9767936,77.590082,"dhina17l yupp works like got know via thecybermentor s course","2023-04-02 04:23:56",0.52286524,0.0073638097,0.46977094,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295518620688385,"The idea of a date where you just cuddle and nap together sounds appealing NGL.",positive,"2023-04-01 22:38:58",,"mai ladies hu","Rock Bottom ",0,"The idea of a date where you just cuddle and nap together sounds appealing NGL.",en,0,34.5422056,-101.4328569,"idea date just cuddle nap together sounds appealing ngl","2023-04-02 04:23:56",0.8865383,0.0025459633,0.11091577,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295659666743296,"@SaraKhan146 @WaseemAhmad1755 @Shamir__Khan https://t.co/f1ptiDJXtd",neutral,"2023-04-01 22:39:32",,"Saleem Saleem","Bengaluru, India",0,"@SaraKhan146 @WaseemAhmad1755 @Shamir__Khan https://t.co/f1ptiDJXtd",und,0,12.9767936,77.590082,"sarakhan146 waseemahmad1755 shamir khan","2023-04-02 04:23:56",0.028156528,0.076400876,0.89544255,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295674359406592,"Quick night flight service starts at Kalaburagi Airport
#Kalaburagiairport #nightflight #kalyanakarnataka #karnataka #karnataka
https://t.co/rgih5fs1bv",neutral,"2023-04-01 22:39:35","KalaburagiAirport, NightFlight, KalyanaKarnataka, Karnataka","Asianet Suvarna News",Bengaluru,0,"ಕಲಬುರಗಿ ವಿಮಾನ ನಿಲ್ದಾಣದಲ್ಲಿ ಶೀಘ್ರ ರಾತ್ರಿ ವಿಮಾನ ಸೇವೆ ಆರಂಭ
#KalaburagiAirport #NightFlight #KalyanaKarnataka #Karnataka
https://t.co/RgIH5fs1BV",kn,0,12.9767936,77.590082,"quick night flight service starts kalaburagi airport kalaburagiairport nightflight kalyanakarnataka karnataka karnataka","2023-04-02 04:23:56",0.04485395,0.010412956,0.9447331,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295679342239744,"@Mrbeast not audio track?https://t.co/Pse3Knynje",neutral,"2023-04-01 22:39:36",,"Dipak Salunkhe","Bengaluru, India",0,"@MrBeast Hindi  audio track? https://t.co/PSE3KnynJE",tl,0,12.9767936,77.590082,"mrbeast audio track","2023-04-02 04:23:56",0.051402938,0.30057302,0.648024,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295690150948864,"#VaikomSatyagrahaCentenary https://t.co/bnbIeeUJyR",neutral,"2023-04-01 22:39:39",VaikomSatyagrahaCentenary,"Jayakumar Vilvaraj","Bengaluru, India",0,"#VaikomSatyagrahaCentenary https://t.co/bnbIeeUJyR",und,0,12.9767936,77.590082,vaikomsatyagrahacentenary,"2023-04-02 04:23:56",0.080783516,0.057827745,0.8613887,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295721763418112,"@SaraKhan146 @WaseemAhmad1755 @Shamir__Khan Sahi zawab",neutral,"2023-04-01 22:39:47",,"Saleem Saleem","Bengaluru, India",0,"@SaraKhan146 @WaseemAhmad1755 @Shamir__Khan Sahi zawab",in,0,12.9767936,77.590082,"sarakhan146 waseemahmad1755 shamir khan sahi zawab","2023-04-02 04:23:56",0.030266931,0.08197563,0.8877574,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295722006712320,"@Iftykhan15 because changed ??",neutral,"2023-04-01 22:39:47",,"𝕊𝕌ℍ𝔸𝔸ℕ 🇮🇳","Tumkur, India",0,"@Iftykhan15 Car change??",fr,0,13.3400771,77.1006208,"iftykhan15 changed","2023-04-02 04:23:56",0.05566491,0.13218175,0.8121534,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295765837156352,"@AbbakkaHypatia Just saw Vetrimaaran Viduthalai last night. Like his other stories, the 'treatment like animals' bit is sickeningly hammered into the viewer in this one.",negative,"2023-04-01 22:39:57",,"Soham পাಬ್ಲೋ بنرجی","Bengaluru, India",0,"@AbbakkaHypatia Just saw Vetrimaran's Viduthalai last night. Like his other stories, the 'treatment like animals' bit is sickeningly hammered into the viewer in this one.",en,0,12.9767936,77.590082,"abbakkahypatia just saw vetrimaaran viduthalai last night like stories treatment like animals bit sickeningly hammered viewer one","2023-04-02 04:23:56",0.010972916,0.80530363,0.18372345,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295766265004035,"@Harmindarboxoff 999% @iamsrk",neutral,"2023-04-01 22:39:57",,"Ershad Khan","Bengaluru, India",0,"@Harmindarboxoff 999% @iamsrk",und,0,12.9767936,77.590082,"harmindarboxoff 999 iamsrk","2023-04-02 04:23:56",0.063000835,0.085095555,0.8519036,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295773533704193,"Oh my god. I was thinking people were joking with the spelling of university, it does read unibersity!
It's as if someone instead of V typed B by accident, while photoshoping! https://t.co/ZNPDcpjsVX",negative,"2023-04-01 22:39:59",,"Bhanu prakash (ಭಾನು ಪ್ರಕಾಶ್)","Bengaluru, India",0,"Oh my god. I was thinking people were joking with the spelling of university, it does read unibersity!
It's as if someone instead of V typed B by accident, while photoshoping! https://t.co/ZNPDcpjsVX",en,0,12.9767936,77.590082,"oh god thinking people joking spelling university read unibersity s someone instead v typed b accident photoshoping","2023-04-02 04:23:56",0.059774797,0.5872325,0.35299274,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295832572747776,"Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/9PdsgtAXun",neutral,"2023-04-01 22:40:13",MyTwitterAnniversary,MerryBrains,"Bangalore, India",0,"Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/9PdsgtAXun",en,0,12.9767936,77.590082,"remember joined twitter mytwitteranniversary","2023-04-02 04:23:56",0.15652722,0.015782904,0.8276899,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295839761596417,"@sardesairajdeep So want the game to be reduced to 15 over or 10 over or may be we can reduce the batsman’s to 8 Ppl..! Pls be clear mr Rajdeep what actually want to say..! 😀",neutral,"2023-04-01 22:40:15",,Manjunath_P,"Bengaluru, India",0,"@sardesairajdeep So want the game to be reduced to 15 over or 10 over or may be we can reduce the batsman’s to 8 Ppl..! Pls be clear mr Rajdeep what actually want to say..! 😀",en,0,12.9767936,77.590082,"sardesairajdeep want game reduced 15 10 may can reduce batsman s 8 ppl pls clear mr rajdeep actually want say","2023-04-02 04:23:56",0.030415833,0.15511642,0.8144677,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295865384767491,"@mittu7896 Hi there, this is not how we wished to serve you. Kindly allow us a few minutes to get this checked.

 ^Prathiksha",negative,"2023-04-01 22:40:21",,"Swiggy Cares",Bengaluru,0,"@mittu7896 Hi there, this is not how we wished to serve you. Kindly allow us a few minutes to get this checked.

 ^Prathiksha",en,0,12.9767936,77.590082,"mittu7896 hi wished serve kindly allow us minutes get checked prathiksha","2023-04-02 04:23:56",0.0063964697,0.8249375,0.16866603,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295872104042497,"Me and friend's after hogging food at Iftar Mela saw Charlie and the chocolate factory till 3 in the morning https://t.co/RChJuDn3b0",neutral,"2023-04-01 22:40:22",,"mai ladies hu","Rock Bottom ",0,"Me and friend's after hogging food at Iftar Mela saw Charlie and the chocolate factory till 3 in the morning https://t.co/RChJuDn3b0",en,0,34.5422056,-101.4328569,"friend s hogging food iftar mela saw charlie chocolate factory till 3 morning","2023-04-02 04:23:56",0.15915836,0.013331565,0.8275101,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
1642295892794548224,"#VaikomSatyagrahaCentenary
#NarayanaGuru https://t.co/4PskAYsZ8L",neutral,"2023-04-01 22:40:27","VaikomSatyagrahaCentenary, NarayanaGuru","Jayakumar Vilvaraj","Bengaluru, India",0,"#VaikomSatyagrahaCentenary
#NarayanaGuru https://t.co/4PskAYsZ8L",und,0,12.9767936,77.590082,"vaikomsatyagrahacentenary narayanaguru","2023-04-02 04:23:56",0.06211418,0.047390062,0.8904958,Bangalore,2023-04-02,04:24:00,"2023-04-02 04:24:00","2023-04-02 04:23:56",22,9,170,S,29.91,0,83,50,24.6,6,1,11.9,"Partly cloudy"
